millis,node,x,y,rssi,distance,target_x,target_y
5308,6,0,25,-68.936,18.8821,7.80788,7.80788
5308,8,25,25,-72.2268,24.3133,7.80788,7.80788
5408,4,12.5,12.5,-55.5363,6.76066,7.71949,7.71949
5408,2,12.5,0,-59.403,9.07986,7.71949,7.71949
5408,5,0,12.5,-59.403,9.07986,7.71949,7.71949
5408,1,0,0,-61.8129,10.917,7.71949,7.71949
5408,7,12.5,25,-68.2575,17.9296,7.71949,7.71949
5408,3,25,0,-68.9665,18.9263,7.71949,7.71949
5408,6,0,25,-68.9665,18.9263,7.71949,7.71949
5408,8,25,25,-72.2936,24.4383,7.71949,7.71949
5508,4,12.5,12.5,-55.7754,6.88566,7.6311,7.6311
5508,2,12.5,0,-59.3628,9.05207,7.6311,7.6311
5508,5,0,12.5,-59.3628,9.05207,7.6311,7.6311
5508,1,0,0,-61.663,10.792,7.6311,7.6311
5508,7,12.5,25,-68.3364,18.0384,7.6311,7.6311
5508,3,25,0,-68.9974,18.9714,7.6311,7.6311
5508,6,0,25,-68.9974,18.9714,7.6311,7.6311
5508,8,25,25,-72.3601,24.5633,7.6311,7.6311
5608,4,12.5,12.5,-56.0102,7.01066,7.54271,7.54271
5608,2,12.5,0,-59.325,9.02592,7.54271,7.54271
5608,5,0,12.5,-59.325,9.02592,7.54271,7.54271
5608,1,0,0,-61.5113,10.667,7.54271,7.54271
5608,7,12.5,25,-68.415,18.1475,7.54271,7.54271
